,gene_id,gene_name
1,ENSMUSG00000102693,4933401J01Rik
2,ENSMUSG00000064842,Gm26206
3,ENSMUSG00000051951,Xkr4
4,ENSMUSG00000102851,Gm18956
5,ENSMUSG00000103377,Gm37180
6,ENSMUSG00000104017,Gm37363
7,ENSMUSG00000103025,Gm37686
8,ENSMUSG00000089699,Gm1992
9,ENSMUSG00000103201,Gm37329
10,ENSMUSG00000103147,Gm7341
11,ENSMUSG00000103161,Gm38148
12,ENSMUSG00000102331,Gm19938
13,ENSMUSG00000102348,Gm10568
14,ENSMUSG00000102592,Gm38385
15,ENSMUSG00000088333,Gm27396
16,ENSMUSG00000102343,Gm37381
17,ENSMUSG00000025900,Rp1
18,ENSMUSG00000102948,Gm6101
19,ENSMUSG00000104123,Gm37483
20,ENSMUSG00000025902,Sox17
21,ENSMUSG00000104238,Gm37587
22,ENSMUSG00000102269,Gm7357
23,ENSMUSG00000096126,Gm22307
24,ENSMUSG00000103003,Gm38076
25,ENSMUSG00000104328,Gm37323
26,ENSMUSG00000102735,Gm7369
27,ENSMUSG00000098104,Gm6085
28,ENSMUSG00000102175,Gm6119
29,ENSMUSG00000088000,Gm25493
30,ENSMUSG00000103265,Gm2053
31,ENSMUSG00000103922,Gm6123
32,ENSMUSG00000033845,Mrpl15
33,ENSMUSG00000102275,Gm37144
34,ENSMUSG00000025903,Lypla1
35,ENSMUSG00000104217,Gm37988
36,ENSMUSG00000033813,Tcea1
37,ENSMUSG00000062588,Gm6104
38,ENSMUSG00000103280,Gm37277
39,ENSMUSG00000002459,Rgs20
40,ENSMUSG00000091305,Gm17100
41,ENSMUSG00000102653,Gm37079
42,ENSMUSG00000085623,Gm16041
43,ENSMUSG00000091665,Gm17101
44,ENSMUSG00000033793,Atp6v1h
45,ENSMUSG00000104352,Gm7182
46,ENSMUSG00000104046,Gm37567
47,ENSMUSG00000102907,Gm38264
48,ENSMUSG00000025905,Oprk1
49,ENSMUSG00000103936,Gm36965
50,ENSMUSG00000093015,Gm22463
51,ENSMUSG00000103519,Gm37429
52,ENSMUSG00000033774,Npbwr1
53,ENSMUSG00000103090,Gm19214
54,ENSMUSG00000025907,Rb1cc1
55,ENSMUSG00000090031,4732440D04Rik
56,ENSMUSG00000087247,Fam150a
57,ENSMUSG00000103355,Gm2147
58,ENSMUSG00000102706,Gm7417
59,ENSMUSG00000103845,Gm19026
60,ENSMUSG00000033740,St18
61,ENSMUSG00000103329,Gm42492
62,ENSMUSG00000104385,Gm7449
63,ENSMUSG00000102135,Gm37108
64,ENSMUSG00000103282,Gm37275
65,ENSMUSG00000102534,Gm37225
66,ENSMUSG00000102213,Gm37489
67,ENSMUSG00000103629,Gm5694
68,ENSMUSG00000051285,Pcmtd1
69,ENSMUSG00000098201,Gm26983
70,ENSMUSG00000103509,Gm38372
71,ENSMUSG00000048538,Gm9826
72,ENSMUSG00000103709,Nras-ps2
73,ENSMUSG00000077244,Gm23274
74,ENSMUSG00000102768,Gm19002
75,ENSMUSG00000097797,Gm26901
76,ENSMUSG00000103498,Gm18984
77,ENSMUSG00000103067,Gm30414
78,ENSMUSG00000102320,Gm37791
79,ENSMUSG00000104226,Gm7470
80,ENSMUSG00000103903,Rps2-ps2
81,ENSMUSG00000103557,Gm38216
82,ENSMUSG00000025909,Sntg1
83,ENSMUSG00000102647,Gm38024
84,ENSMUSG00000086235,Gm16284
85,ENSMUSG00000102253,Gm38259
86,ENSMUSG00000093970,Gm23358
87,ENSMUSG00000103884,Gm37005
88,ENSMUSG00000084353,Gm15452
89,ENSMUSG00000103933,Gm36964
90,ENSMUSG00000076135,Gm24276
91,ENSMUSG00000086195,Gm6152
92,ENSMUSG00000104504,Gm7445
93,ENSMUSG00000066693,Gm7493
94,ENSMUSG00000102316,Gm37629
95,ENSMUSG00000103819,Gm38008
96,ENSMUSG00000102871,Gm37143
97,ENSMUSG00000101571,Gm6187
98,ENSMUSG00000104428,Gm18299
99,ENSMUSG00000102272,Gm7512
100,ENSMUSG00000065625,Gm24765
101,ENSMUSG00000103411,Gm18300
102,ENSMUSG00000061024,Rrs1
103,ENSMUSG00000025911,Adhfe1
104,ENSMUSG00000079671,2610203C22Rik
105,ENSMUSG00000081441,Gm6161
106,ENSMUSG00000067879,3110035E14Rik
107,ENSMUSG00000099827,Gm29520
108,ENSMUSG00000025912,Mybl1
109,ENSMUSG00000045210,Vcpip1
110,ENSMUSG00000097893,1700034P13Rik
111,ENSMUSG00000025915,Sgk3
112,ENSMUSG00000046334,Gm6195
113,ENSMUSG00000088916,Gm22607
114,ENSMUSG00000046101,Mcmdc2
115,ENSMUSG00000098234,Snhg6
116,ENSMUSG00000093178,Snord87
117,ENSMUSG00000099032,Tcf24
118,ENSMUSG00000104025,E330040D14Rik
119,ENSMUSG00000025916,Ppp1r42
120,ENSMUSG00000087199,Gm15818
121,ENSMUSG00000095780,Gm24674
122,ENSMUSG00000025917,Cops5
123,ENSMUSG00000056763,Cspp1
124,ENSMUSG00000102356,1700047N06Rik
125,ENSMUSG00000067851,Arfgef1
126,ENSMUSG00000088153,Gm26348
127,ENSMUSG00000102556,Gm37569
128,ENSMUSG00000042501,Cpa6
129,ENSMUSG00000103810,Gm38005
130,ENSMUSG00000083422,Gm15604
131,ENSMUSG00000094979,Gm25253
132,ENSMUSG00000081417,Gm15603
133,ENSMUSG00000103448,Gm37133
134,ENSMUSG00000100212,Gm5522
135,ENSMUSG00000100648,Gm28659
