,D786T08,D786T05,D786T07,D786T02,D786T04,D786T03,D786T01,D786T06
ENSMUSG00000102693,0,2,0,0,2,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0
ENSMUSG00000051951,9,4,3,9,9,8,1,5
ENSMUSG00000102851,0,0,0,0,1,2,0,0
ENSMUSG00000103377,10,1,1,3,2,6,0,3
ENSMUSG00000104017,5,13,0,5,2,1,7,6
ENSMUSG00000103025,4,16,0,12,4,10,1,2
ENSMUSG00000089699,1,7,0,0,1,0,0,3
ENSMUSG00000103201,2,7,0,1,0,6,0,1
ENSMUSG00000103147,0,2,0,0,4,0,0,0
ENSMUSG00000103161,5,6,0,2,11,0,0,1
ENSMUSG00000102331,3,0,2,2,0,1,0,0
ENSMUSG00000102348,1,0,0,0,0,0,0,3
ENSMUSG00000102592,1,0,0,3,0,1,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0
ENSMUSG00000102343,2,2,0,4,3,8,0,1
ENSMUSG00000025900,38,30,0,18,17,20,10,14
ENSMUSG00000102948,6,7,0,21,3,4,1,2
ENSMUSG00000104123,12,5,0,7,14,2,2,8
ENSMUSG00000025902,9,13,0,4,3,9,0,0
ENSMUSG00000104238,0,12,0,2,2,5,0,2
ENSMUSG00000102269,2,8,0,0,11,5,1,1
ENSMUSG00000096126,1,0,0,2,0,3,1,1
ENSMUSG00000103003,0,0,0,0,0,0,0,0
ENSMUSG00000104328,3,6,0,6,0,0,0,2
ENSMUSG00000102735,2,5,0,0,1,4,0,1
ENSMUSG00000098104,4,5,11,5,9,12,2,13
ENSMUSG00000102175,0,2,2,18,3,5,2,6
ENSMUSG00000088000,4,0,0,0,0,0,0,0
ENSMUSG00000103265,3,0,1,2,5,0,3,2
ENSMUSG00000103922,4,1,0,0,0,1,0,2
ENSMUSG00000033845,50,69,133,67,70,88,100,68
ENSMUSG00000102275,6,0,3,3,6,2,0,2
ENSMUSG00000025903,61,49,135,79,102,138,135,127
ENSMUSG00000104217,0,0,0,0,0,0,0,0
ENSMUSG00000033813,161,134,295,213,260,237,265,314
ENSMUSG00000062588,6,3,0,2,12,7,0,6
ENSMUSG00000103280,21,13,45,6,5,15,7,26
ENSMUSG00000002459,125,160,311,65,72,92,97,254
ENSMUSG00000091305,4,3,5,1,7,2,0,16
ENSMUSG00000102653,41,44,96,19,29,20,20,88
ENSMUSG00000085623,18,7,0,4,3,1,0,11
ENSMUSG00000091665,8,4,0,0,4,0,0,3
ENSMUSG00000033793,182,186,363,258,372,318,359,278
ENSMUSG00000104352,3,8,0,2,4,5,0,0
ENSMUSG00000104046,2,1,0,4,0,5,0,2
ENSMUSG00000102907,13,3,0,4,1,9,0,0
ENSMUSG00000025905,4,4,0,2,1,2,2,1
ENSMUSG00000103936,0,0,0,0,0,0,0,0
ENSMUSG00000093015,1,0,0,0,0,0,0,0
ENSMUSG00000103519,0,9,0,2,0,0,0,4
ENSMUSG00000033774,11,3,0,1,0,4,0,0
ENSMUSG00000103090,1,0,0,3,0,0,0,1
ENSMUSG00000025907,707,736,1676,751,1079,1151,1067,1233
ENSMUSG00000090031,20,45,65,46,56,59,76,73
ENSMUSG00000087247,7,4,0,0,0,1,0,2
ENSMUSG00000103355,0,0,0,0,0,0,4,2
ENSMUSG00000102706,0,0,0,0,0,0,0,0
ENSMUSG00000103845,17,9,0,13,6,5,5,1
ENSMUSG00000033740,20,9,0,15,7,11,0,5
ENSMUSG00000103329,6,5,0,12,2,1,0,0
ENSMUSG00000104385,2,0,0,4,1,3,0,2
ENSMUSG00000102135,0,3,0,5,4,3,0,3
ENSMUSG00000103282,2,0,0,1,0,0,0,0
ENSMUSG00000102534,0,8,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0
ENSMUSG00000103629,10,0,0,5,1,3,3,1
ENSMUSG00000051285,348,444,833,482,640,687,755,662
ENSMUSG00000098201,1,1,0,2,1,3,0,0
ENSMUSG00000103509,98,79,194,107,183,197,171,177
ENSMUSG00000048538,5,1,3,1,0,1,3,13
ENSMUSG00000103709,0,0,0,0,0,0,0,0
ENSMUSG00000077244,1,0,0,0,0,6,0,1
ENSMUSG00000102768,1,0,0,0,0,0,0,0
ENSMUSG00000097797,13,2,4,15,7,8,3,6
ENSMUSG00000103498,3,0,0,7,0,3,1,4
ENSMUSG00000103067,4,0,0,5,4,4,3,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0
ENSMUSG00000104226,3,2,0,0,1,1,0,0
ENSMUSG00000103903,0,0,0,1,0,0,0,0
ENSMUSG00000103557,6,7,0,1,1,9,5,0
ENSMUSG00000025909,23,22,0,18,9,16,4,19
ENSMUSG00000102647,10,5,0,7,10,8,0,8
ENSMUSG00000086235,0,0,0,0,1,0,0,0
ENSMUSG00000102253,12,11,0,5,6,6,12,6
ENSMUSG00000093970,6,2,0,1,4,0,0,0
ENSMUSG00000103884,1,0,0,0,0,0,0,0
ENSMUSG00000084353,0,1,0,1,2,0,0,0
ENSMUSG00000103933,0,0,0,0,0,0,0,0
ENSMUSG00000076135,0,0,0,2,2,0,1,0
ENSMUSG00000086195,5,0,0,1,0,3,0,0
ENSMUSG00000104504,1,0,0,0,0,0,0,3
ENSMUSG00000066693,5,3,0,0,0,0,0,0
ENSMUSG00000102316,0,1,0,0,0,2,0,0
ENSMUSG00000103819,0,2,0,0,0,8,0,0
ENSMUSG00000102871,2,1,0,3,2,2,0,3
ENSMUSG00000101571,5,12,0,3,2,0,9,6
ENSMUSG00000104428,0,0,0,4,0,0,2,0
ENSMUSG00000102272,8,1,0,1,0,3,0,0
ENSMUSG00000065625,0,0,0,0,4,1,0,0
ENSMUSG00000103411,0,1,0,3,1,1,0,0
ENSMUSG00000061024,56,75,111,90,108,97,97,69
ENSMUSG00000025911,10,31,11,21,14,28,31,6
ENSMUSG00000079671,20,18,0,10,4,8,3,5
ENSMUSG00000081441,2,10,1,5,1,3,0,0
ENSMUSG00000067879,7,7,0,4,1,9,0,4
ENSMUSG00000099827,6,3,0,2,0,4,4,0
ENSMUSG00000025912,24,36,45,32,51,51,51,47
ENSMUSG00000045210,353,353,760,551,642,685,693,682
ENSMUSG00000097893,11,14,0,6,3,4,3,5
ENSMUSG00000025915,133,131,239,153,167,193,187,229
ENSMUSG00000046334,0,2,0,1,0,0,0,0
ENSMUSG00000088916,0,0,0,0,0,0,0,0
ENSMUSG00000046101,12,24,37,14,10,9,11,31
ENSMUSG00000098234,25,14,36,29,28,23,53,54
ENSMUSG00000093178,13,9,23,5,5,25,15,12
ENSMUSG00000099032,10,8,17,36,27,32,18,23
ENSMUSG00000104025,0,0,0,0,2,6,0,0
ENSMUSG00000025916,5,3,0,4,1,4,3,0
ENSMUSG00000087199,3,0,0,0,0,4,0,0
ENSMUSG00000095780,0,0,0,1,0,4,0,0
ENSMUSG00000025917,73,92,144,119,112,129,122,135
ENSMUSG00000056763,400,416,936,522,723,767,773,760
ENSMUSG00000102356,0,0,0,0,1,0,0,0
ENSMUSG00000067851,555,547,1393,888,959,1093,1124,1252
ENSMUSG00000088153,0,0,0,1,1,0,0,0
ENSMUSG00000102556,9,9,20,16,27,12,7,26
ENSMUSG00000042501,32,55,35,38,38,37,48,72
ENSMUSG00000103810,19,5,3,8,7,5,13,18
ENSMUSG00000083422,3,15,2,2,7,9,7,6
ENSMUSG00000094979,5,2,1,0,0,0,0,0
ENSMUSG00000081417,1,0,0,2,0,1,0,0
ENSMUSG00000103448,1,3,0,7,4,2,0,1
ENSMUSG00000100212,1,3,0,1,0,2,0,0
ENSMUSG00000100648,0,0,0,0,0,0,0,0
ENSMUSG00000088585,0,0,0,0,0,0,0,0
ENSMUSG00000048960,67,77,36,66,31,73,19,39
ENSMUSG00000077318,0,0,0,0,0,0,0,0
ENSMUSG00000101827,4,5,0,1,1,0,0,0
ENSMUSG00000103494,5,5,0,3,0,6,0,2
ENSMUSG00000057715,7,10,0,14,6,30,0,18
ENSMUSG00000103825,3,0,0,0,0,1,1,1
ENSMUSG00000099845,0,4,0,0,8,2,0,0
ENSMUSG00000103561,4,3,0,5,0,4,0,0
ENSMUSG00000101610,0,3,0,2,0,0,0,0
ENSMUSG00000093864,1,3,0,0,0,0,1,0
ENSMUSG00000098555,1,0,0,0,0,0,0,1
ENSMUSG00000097628,1,0,0,2,0,0,0,0
ENSMUSG00000098163,0,0,0,3,0,0,0,0
ENSMUSG00000097171,1,5,0,2,4,1,3,5
ENSMUSG00000101314,3,2,0,2,0,0,0,0
ENSMUSG00000016918,3018,2214,5777,2320,2531,2384,2199,5602
ENSMUSG00000025938,21,10,17,21,28,21,10,28
ENSMUSG00000104518,0,0,0,0,0,0,0,0
ENSMUSG00000069620,4,0,0,0,2,4,0,0
ENSMUSG00000099498,1,2,0,0,6,1,0,0
ENSMUSG00000042414,6,1,4,12,3,11,0,13
ENSMUSG00000005886,570,649,1422,791,899,1093,1063,1200
ENSMUSG00000103506,31,22,45,10,31,18,7,43
ENSMUSG00000103495,19,15,55,37,61,44,35,62
ENSMUSG00000099183,0,0,0,0,0,1,0,1
ENSMUSG00000102639,9,5,17,10,7,10,18,7
ENSMUSG00000104170,26,15,67,25,64,40,51,56
ENSMUSG00000087782,11,0,8,0,7,6,15,3
ENSMUSG00000103085,66,56,126,77,133,89,81,101
ENSMUSG00000102664,38,37,59,55,78,69,46,67
ENSMUSG00000101476,2,4,4,1,5,1,5,0
ENSMUSG00000101171,0,1,0,0,1,1,0,0
ENSMUSG00000025935,234,294,521,424,385,445,593,476
ENSMUSG00000025937,80,50,244,118,120,182,174,93
ENSMUSG00000102982,6,14,7,12,19,8,3,4
ENSMUSG00000067813,2,2,0,2,2,1,0,1
ENSMUSG00000077368,0,2,0,0,1,0,0,0
ENSMUSG00000097711,2,7,0,1,1,3,0,3
ENSMUSG00000102166,1,2,0,1,2,3,0,0
ENSMUSG00000089358,3,0,0,2,1,1,0,2
ENSMUSG00000104209,3,9,0,5,3,5,0,5
ENSMUSG00000025932,279,245,739,642,604,611,637,564
ENSMUSG00000095853,0,0,0,0,0,0,2,0
ENSMUSG00000102588,3,3,25,9,11,8,17,7
ENSMUSG00000054493,35,37,127,43,59,58,74,89
ENSMUSG00000025930,170,273,579,157,206,204,289,493
ENSMUSG00000103492,14,15,28,4,16,17,12,43
ENSMUSG00000081201,0,2,0,2,0,0,0,0
ENSMUSG00000082193,4,4,0,4,4,3,3,4
ENSMUSG00000032769,24,14,26,26,28,44,60,31
ENSMUSG00000088159,0,0,0,1,0,0,0,0
ENSMUSG00000073737,0,4,0,0,0,0,1,0
ENSMUSG00000092083,27,18,3,19,15,20,5,17
ENSMUSG00000102937,0,0,0,3,5,0,3,3
ENSMUSG00000104149,3,3,0,3,0,0,0,0
ENSMUSG00000088829,0,1,0,0,0,2,0,4
ENSMUSG00000077377,0,2,0,2,3,3,0,1
ENSMUSG00000101652,1,4,0,0,0,0,6,0
ENSMUSG00000100814,2,0,0,0,0,0,0,0
ENSMUSG00000025925,80,136,316,117,161,148,119,201
ENSMUSG00000104379,18,11,10,13,21,9,6,18
ENSMUSG00000032719,0,5,0,6,0,6,0,0
ENSMUSG00000088943,0,0,0,0,0,0,0,0
ENSMUSG00000100652,4,2,0,0,3,0,0,0
ENSMUSG00000067795,1,4,3,0,6,2,0,7
ENSMUSG00000043716,718,637,1347,874,823,1235,1290,1162
ENSMUSG00000025921,134,134,369,284,293,286,323,264
ENSMUSG00000104165,1,6,0,0,1,5,7,4
ENSMUSG00000100868,6,1,1,0,0,0,0,0
ENSMUSG00000025920,51,45,128,61,91,94,84,74
ENSMUSG00000089982,2,2,0,3,10,2,6,4
ENSMUSG00000025939,133,129,211,168,215,206,207,227
ENSMUSG00000102457,5,9,17,32,44,28,66,16
ENSMUSG00000079658,137,144,441,296,301,348,406,354
ENSMUSG00000097744,4,2,0,6,0,9,1,3
ENSMUSG00000100959,0,0,0,3,0,7,0,0
ENSMUSG00000025940,37,36,76,71,49,86,57,83
ENSMUSG00000025779,18,6,25,27,15,15,25,15
ENSMUSG00000100093,2,2,0,1,1,0,0,0
ENSMUSG00000091020,1,0,0,0,0,1,0,4
ENSMUSG00000101640,0,0,0,0,0,1,0,0
ENSMUSG00000104133,0,2,0,0,0,0,0,0
ENSMUSG00000042686,50,45,71,83,57,56,83,73
ENSMUSG00000100110,3,4,0,1,2,4,0,0
ENSMUSG00000025777,9,6,0,15,15,5,10,1
ENSMUSG00000099899,5,4,0,0,1,1,0,1
ENSMUSG00000100272,0,5,0,0,3,0,0,0
ENSMUSG00000100398,1,2,0,0,0,3,0,1
ENSMUSG00000101589,63,41,187,143,103,84,177,206
ENSMUSG00000102048,0,0,4,0,0,0,0,0
ENSMUSG00000089534,0,0,0,0,0,0,0,0
ENSMUSG00000067780,384,138,866,729,478,545,929,541
ENSMUSG00000100053,3,7,0,10,13,2,1,10
ENSMUSG00000085125,10,4,3,7,6,19,0,3
ENSMUSG00000025776,19,27,34,16,13,18,20,30
ENSMUSG00000099895,0,1,0,3,0,2,0,1
ENSMUSG00000100554,0,0,0,1,0,1,0,6
ENSMUSG00000099473,0,0,0,0,0,0,0,0
ENSMUSG00000099591,10,0,0,2,3,6,6,0
ENSMUSG00000109887,9,4,0,3,0,2,0,7
ENSMUSG00000102001,0,0,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,1,0,0,0,0
ENSMUSG00000025774,4,9,0,5,7,1,1,0
ENSMUSG00000070977,0,3,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0,0,0
ENSMUSG00000067773,2,0,0,1,0,0,0,0
ENSMUSG00000101685,1,1,0,3,4,2,0,0
ENSMUSG00000101738,0,0,0,0,0,0,0,0
ENSMUSG00000101306,0,0,0,1,0,0,0,0
ENSMUSG00000088800,0,1,0,0,0,0,0,0
ENSMUSG00000101644,4,2,0,4,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0,0,0
ENSMUSG00000089787,0,2,0,0,1,0,0,2
ENSMUSG00000042596,8,10,0,11,2,4,14,3
ENSMUSG00000100720,3,9,1,6,3,1,0,9
ENSMUSG00000025927,18,23,0,11,14,7,2,5
ENSMUSG00000100538,1,5,0,0,3,3,0,1
ENSMUSG00000101117,4,0,0,4,0,1,0,0
ENSMUSG00000100204,4,8,0,10,2,2,0,4
ENSMUSG00000084668,0,0,0,1,0,0,0,0
ENSMUSG00000102597,0,3,0,2,1,0,1,0
ENSMUSG00000043760,37,52,0,33,23,34,3,30
