,D786T08,D786T05,D786T07,D786T02,D786T04,D786T03,D786T01,D786T06
ENSMUSG00000102693,0,0.9,0,0,0.63,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0
ENSMUSG00000051951,0.74,0.31,0.14,0.49,0.5,0.36,0.04,0.22
ENSMUSG00000102851,0,0,0,0,0.7,1.15,0,0
ENSMUSG00000103377,1.77,0.17,0.1,0.35,0.24,0.59,0,0.28
ENSMUSG00000104017,1.12,2.79,0,0.74,0.3,0.12,0.72,0.72
ENSMUSG00000103025,0.87,3.32,0,1.72,0.58,1.2,0.1,0.23
ENSMUSG00000089699,2,13.41,0,0,1.34,0,0,3.21
ENSMUSG00000103201,0.49,1.63,0,0.16,0,0.81,0,0.13
ENSMUSG00000103147,0,1.03,0,0,1.45,0,0,0
ENSMUSG00000103161,0.83,0.95,0,0.22,1.23,0,0,0.09
ENSMUSG00000102331,0.46,0,0.17,0.2,0,0.08,0,0
ENSMUSG00000102348,0.31,0,0,0,0,0,0,0.49
ENSMUSG00000102592,0.21,0,0,0.42,0,0.12,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0.73,0.7,0,0.97,0.74,1.62,0,0.2
ENSMUSG00000025900,1.54,1.17,0,0.48,0.46,0.45,0.19,0.3
ENSMUSG00000102948,1.61,1.8,0,3.73,0.54,0.59,0.12,0.29
ENSMUSG00000104123,4.04,1.61,0,1.56,3.17,0.37,0.31,1.44
ENSMUSG00000025902,0.94,1.31,0,0.28,0.21,0.52,0,0
ENSMUSG00000104238,0,1.97,0,0.23,0.23,0.47,0,0.18
ENSMUSG00000102269,0.33,1.28,0,0,1.24,0.46,0.08,0.09
ENSMUSG00000096126,4.67,0,0,6.19,0,7.74,2.15,2.5
ENSMUSG00000103003,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0.54,1.04,0,0.72,0,0,0,0.19
ENSMUSG00000102735,1.07,2.56,0,0,0.36,1.18,0,0.29
ENSMUSG00000098104,1.36,1.63,2.1,1.13,2.06,2.25,0.31,2.36
ENSMUSG00000102175,0,0.79,0.47,4.94,0.84,1.15,0.38,1.33
ENSMUSG00000088000,19.43,0,0,0,0,0,0,0
ENSMUSG00000103265,2.38,0,0.45,1.05,2.66,0,1.09,0.85
ENSMUSG00000103922,1.87,0.45,0,0,0,0.26,0,0.5
ENSMUSG00000033845,2.95,3.9,4.41,2.62,2.77,2.86,2.71,2.14
ENSMUSG00000102275,2.61,0,0.73,0.86,1.75,0.48,0,0.46
ENSMUSG00000025903,4.27,3.29,5.31,3.66,4.8,5.33,4.35,4.75
ENSMUSG00000104217,0,0,0,0,0,0,0,0
ENSMUSG00000033813,26.69,21.28,27.49,23.39,28.96,21.7,20.21,27.82
ENSMUSG00000062588,4.98,2.38,0,1.1,6.69,3.21,0,2.66
ENSMUSG00000103280,9.45,5.61,11.39,1.79,1.51,3.73,1.45,6.26
ENSMUSG00000002459,14.75,18.08,20.63,5.08,5.71,5.99,5.26,16.02
ENSMUSG00000091305,7.36,5.28,5.17,1.22,8.65,2.03,0,15.72
ENSMUSG00000102653,9.61,9.87,12.64,2.95,4.56,2.59,2.16,11.02
ENSMUSG00000085623,2.42,0.9,0,0.36,0.27,0.07,0,0.79
ENSMUSG00000091665,2.52,1.21,0,0,0.85,0,0,0.5
ENSMUSG00000033793,9.34,9.14,10.47,8.77,12.83,9.01,8.47,7.62
ENSMUSG00000104352,2.05,5.24,0,0.91,1.84,1.89,0,0
ENSMUSG00000104046,0.44,0.21,0,0.58,0,0.61,0,0.23
ENSMUSG00000102907,3.2,0.71,0,0.65,0.17,1.22,0,0
ENSMUSG00000025905,0.22,0.21,0,0.07,0.04,0.06,0.05,0.03
ENSMUSG00000103936,0,0,0,0,0,0,0,0
ENSMUSG00000093015,4.95,0,0,0,0,0,0,0
ENSMUSG00000103519,0,2.4,0,0.37,0,0,0,0.59
ENSMUSG00000033774,1.49,0.39,0,0.09,0,0.3,0,0
ENSMUSG00000103090,0.46,0,0,0.92,0,0,0,0.25
ENSMUSG00000025907,24.07,24,32.08,16.94,24.68,21.64,16.71,22.44
ENSMUSG00000090031,1.84,3.97,3.37,2.81,3.47,3,3.22,3.59
ENSMUSG00000087247,3.61,1.97,0,0,0,0.28,0,0.55
ENSMUSG00000103355,0,0,0,0,0,0,1.44,0.84
ENSMUSG00000102706,0,0,0,0,0,0,0,0
ENSMUSG00000103845,1.88,0.95,0,0.95,0.45,0.3,0.25,0.06
ENSMUSG00000033740,1.55,0.67,0,0.77,0.36,0.47,0,0.21
ENSMUSG00000103329,1.03,0.82,0,1.36,0.23,0.09,0,0
ENSMUSG00000104385,1.51,0,0,2,0.51,1.25,0,0.81
ENSMUSG00000102135,0,2.3,0,2.65,2.15,1.32,0,1.28
ENSMUSG00000103282,33.35,0,0,11.04,0,0,0,0
ENSMUSG00000102534,0,11.79,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0
ENSMUSG00000103629,7.8,0,0,2.58,0.52,1.29,1.08,0.42
ENSMUSG00000051285,26.16,31.97,35.2,24,32.32,28.52,26.1,26.59
ENSMUSG00000098201,1.29,1.23,0,1.71,0.87,2.14,0,0
ENSMUSG00000103509,12.17,9.4,13.54,8.8,15.27,13.51,9.77,11.75
ENSMUSG00000048538,1.93,0.37,0.65,0.26,0,0.21,0.53,2.68
ENSMUSG00000103709,0,0,0,0,0,0,0,0
ENSMUSG00000077244,3.85,0,0,0,0,12.75,0,2.06
ENSMUSG00000102768,0.49,0,0,0,0,0,0,0
ENSMUSG00000097797,1.5,0.22,0.26,1.15,0.54,0.51,0.16,0.37
ENSMUSG00000103498,1.34,0,0,2.06,0,0.74,0.2,0.95
ENSMUSG00000103067,0.77,0,0,0.64,0.52,0.43,0.27,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0.72,0.46,0,0,0.16,0.13,0,0
ENSMUSG00000103903,0,0,0,0.38,0,0,0,0
ENSMUSG00000103557,2.47,2.76,0,0.27,0.28,2.05,0.95,0
ENSMUSG00000025909,1.05,0.97,0,0.55,0.28,0.41,0.08,0.47
ENSMUSG00000102647,1.98,0.95,0,0.92,1.33,0.87,0,0.84
ENSMUSG00000086235,0,0,0,0,0.84,0,0,0
ENSMUSG00000102253,1.7,1.49,0,0.47,0.57,0.47,0.78,0.45
ENSMUSG00000093970,27.28,8.71,0,3.01,12.22,0,0,0
ENSMUSG00000103884,0.43,0,0,0,0,0,0,0
ENSMUSG00000084353,0,2,0,1.38,2.8,0,0,0
ENSMUSG00000103933,0,0,0,0,0,0,0,0
ENSMUSG00000076135,0,0,0,6.02,6.11,0,2.09,0
ENSMUSG00000086195,7.36,0,0,0.97,0,2.44,0,0
ENSMUSG00000104504,1.47,0,0,0,0,0,0,2.36
ENSMUSG00000066693,4,2.3,0,0,0,0,0,0
ENSMUSG00000102316,0,0.46,0,0,0,0.53,0,0
ENSMUSG00000103819,0,1.85,0,0,0,4.27,0,0
ENSMUSG00000102871,0.31,0.15,0,0.3,0.21,0.17,0,0.25
ENSMUSG00000101571,2.61,5.99,0,1.04,0.7,0,2.16,1.67
ENSMUSG00000104428,0,0,0,2.08,0,0,0.72,0
ENSMUSG00000102272,3.42,0.41,0,0.28,0,0.71,0,0
ENSMUSG00000065625,0,0,0,0,13.05,2.68,0,0
ENSMUSG00000103411,0,0.34,0,0.71,0.24,0.2,0,0
ENSMUSG00000061024,13.68,17.55,15.24,14.56,17.72,13.08,10.9,9.01
ENSMUSG00000025911,1.32,3.93,0.82,1.84,1.24,2.05,1.89,0.42
