Yang_Eryth_TF,Yang_Lineage_Eryth,Yang_Granulocyte_TF,Yang_Granulocyte_Lineage,Yang_Lineage_Lymphoid,Yang_Lymphoid_TFs,Yang_Megakaryocyte_Lineage,Yang_Megakaryocyte_TFs,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,WilsonMolO,Tusi_EPO_MPP,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_IFNg_response,Chen_early pre-DC marker,Chen_pre-cDC2 marker,Chen_pre-cDC1 marker,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang_MPP2,Yang_MPP3,Yang_MPP4,Niche,Pia_HSC,Pia_MPP1,Pia_MPP2,Pia_MPP3,Pia_MPP4,Pia_MPP5
Tcfe3,Bcl7a,Tcfec,Atp6v1e1,1190002N15Rik,Aff4,Gbf1,Tcf12,Pole3,Ndufb3,Kif4,Nusap1,Zfp93,Procr,Ctnnd2,Pf4,Sgms2,Ccl3,Aqp4,Apobec3,Cybb,Gatm,B9d2,Slfn2,Casd1,Rpp30,Ankrd44,Mbc2,Spata2,Kit,1810010H24Rik,1700008O03Rik,0610010F05Rik,5430427O19Rik,1700025G04Rik,Myadm
Arnt,4930534B04Rik,Gm608,Ctbp2,Rgl1,Hif1a,Brp44,Nfia,Hist1h2ac,Dusp7,Ect2,Cenpn,Gimap6,Pdzk1ip1,Msrb3,Clca1,Ly6d,Birc7,Cxcl16,Cmah,Hpgd,01-Mar,Hdgf,Wbscr27,Hbb-b1,Asb6,Nedd9,Mkrn2,BC017158,Adipor2,1810021B22Rik,4933406C10Rik,0610010K14Rik,5830416I19Rik,1810034E14Rik,Myo1g
Tal1,Hdgf,Xbp1,Lta4h,Rufy1,Mxd1,Cysltr2,E2f4,Ccne1,Mcm10,2310014L17Rik,Cep78,Inadl,Ltb,Map3k19,Hist1h4d,Ighvq52.3.8,Rgl1,Gbp2,Cox5a,Ict1,Naaa,Gata1,Il2rg,Atp5a1,Utp3,4930402H24Rik,Trpc4ap,Col4a2,Adipor1,2410006H16Rik,6720489N17Rik,1700021F05Rik,Abca4,2410004P03Rik,Napg
Tcf12,Gata1,Cebpa,Tcfec,Paf1,Arnt,Pld3,Hmg20a,Hist1h2ap,Gypc,Nusap1,Pbk,Lass4,Mllt3,Ccl17,Aspm,Cybb,Kynu,Gbp8,Fdps,Ifi30,Ncf4,Mrpl48,Cdkn1c,Btf3l4,Fdft1,Gmpr2,Arfgap1,2900009I07Rik,Cd93,2510009E07Rik,Abca1,1700097N02Rik,Ada,5031439G07Rik,Ncoa2
Nfia,Caprin1,Cbfb,Stxbp5,Samhd1,Id2,Arhgap6,Smarce1,Hist1h2ag,Phlda2,Cenpn,Hist1h2bj,Pdzk1ip1,Ifitm1,1700017N19Rik,Pigw,EG434025  // EG434025,Gcet2,Ifitm2,Fkbp1a,Mgst3,Ndufa13,Caprin1,Tgtp2,Ak3,Lrp10,Arhgap30,Mapkapk5,A930008G19Rik,Scarb1,2900005J15Rik,Ackr1,2810025M15Rik,Adam17,AA467197,Ncoa4
E2f4,Senp3,E2f3,Snap29,Tmem86a,Mycl1,Mat2b,Hmgb3,Pcna,Exoc7,Cep78,Aurkb,Prdm16,Gimap1,Col1a2,Chadl,Rasgrp3,H2afy,Irgm2,Naa50,Ncf2,Ndufab1,Ran,Tmem176b,Rpl7l1,Ube2q1,Fntb,Frs2,Cgrrf1,Il2rg,4930486L24Rik,Adcy4,4933404O12Rik,Adgrl4,Aagab,Ndrg1
E2f3,Gclm,Sfpi1,Trafd1,Crygn,Tcf4,Tmem40,Mybl2,Hist1h1c,Stxbp1,Pbk,MDC1,Rab34,Gimap6,Serpina3f,Hist1h4m,Gata3,Fbxo32,Nos2,Ndufs8,Pla2g4a,Ndufb2,Cdca7,Mettl7a1,D19Bwg1357e,Appbp1,9130227C08Rik,Zfp566,Ppil4,Lrp6,4930556M19Rik,Agfg1,Aaas,Ahcy,Abcf2,Nfic
E2f2,Cd97,Fli1,Otud6b,2410001C21Rik,Ebf1,Lrp12,Mier1,Pole,Ywhah,Hist1h2bj,Top2a,1110020G09Rik,Limd2,Pknox2,Sec14l2,4933426M11Rik,Hmox2,Snca,Paics,Ralb,Ndufb8,Pbk,Mllt3,Trak1,Myadm,Os9,Zfp639,Tcf7l2,Itgb1,4930558K02Rik,Ahctf1,Aars,Aldh1b1,Abhd17b,Nfkbiz
E2f8,Asph,Ets2,Cox15,Slfn2,Satb1,Kif1b,Rcor1,Hist1h2bj,Cflar,Aurkb,Hist1h2ag,5730469M10Rik,Trim47,Col1a1,Fhl1,AA408296,Hmg20a,Ccl2,Ppia,Adrbk2,Rab32,Lig1,Gimap6,Eif4e2,2700060E02Rik,Sirpa,Cttn,Lztr1,Ccrl2,4931406C07Rik,Akr1c13,Aarsd1,Anxa2,Abi3,Nhsl2
E2f6,Dedd,Whsc1,Coro1b,Zscan2,Spib,Pcbp1,Smarcc2,Blm,Sass6,Nme3,D2Ertd750e,Speg,Neil2,Pros1,Gpr113,Trp53inp1,Apbb3,Dapk1,Prdx2,Rps6kb1,Rab43,Uba1,Mkl2,Sra1,Brd4,Tmed1,Gnb4,NR_002897,Lrp8,5330417C22Rik,Alox12,AB124611,Asgr1,Ablim1,Oasl2
Elk4,Gtpbp1,Pknox1,Rad54l2,Ifi44,Etv5,Sh3kbp1,Nrf1,Cdk2,Atp5f1,Mdc1,Mki67,Tbc1d24,Vwf,Plekha6,Kif4,Mmp19,Cd93,Gbp3,Prdx4,Arpc5,02-Sep,Mthfd1,Shisa5,Strap,4933439C20Rik,Dctn6,Lgtn,2310005P05Rik,Cxcr4,5730409E04Rik,Ampd3,Abcb4,Atp13a3,Abr,Osbpl9
Elf2,Mthfd1,Hmbox1,Dhdds,B630019K06Rik,Ets1,Gps2,Preb,Rrm1,Slc10a3,Top2a,Hist1h2ap,Traf1,Pde1b,Slc38a3,Mad2l1,Igk-V21-2,Arap2,Gch1,Ptges3,Dnajc4,Sod1,Plekhj1,Cish,Anp32a,6330577E15Rik,Rab17,Chmp1b,Dtx3l,Il15ra,9130008F23Rik,Arhgef28,Abcc5,Atp1b3,Acot1,Padi4
Hmg20a,Josd1,Zhx1,Nkiras2,Hnrnpa2b1,Foxk2,Ctnna1,Creb3l2,Rrm2,Slc22a21,Hist1h2ag,Cep55,Dcaf12l1,Neo1,Thsd7b,Elfn1,Igj,OTTMUSG00000000971,Il12b,Txn1,Rtn1,St3gal5,Serpinb1a,Hlf,Oat,Map2k1ip1,Fbxw8,Tex2,Vamp4,Csf1r,A930005H10Rik,Arl6ip6,Abcf1,Atp5a1,Acot10,Parp9
Smarce1,Lman2,Lass5,Ddx26b,Itgal,Tcf7,Ccnd3,Zbed4,Pola1,Mc5r,D2Ertd750e,Hist1h4d,Alcam,Sqrdl,Tmem42,Gm1964,Derl3,Il1r1,Kynu,Ube2a,S100a4,Ywhaz,Rangap1,Ifitm3,Heatr5a,Zcwpw1,Psme4,Alkbh5,BC013672,Itgal,A930024E05Rik,Arxes2,Ache,Atp6ap2,Adamts10,Pbld1
Hmgb3,Tcf12,Hoxa7,Ly6c2,Oxa1l,Irf8,Psap,Sp4,Pole2,Brip1,Mrps25,Hist1h2ab,Acox1,Sult1a1,Ccpg1os,Adamts5,Igh  // Igh,Dhrs3,Pparg,Tk1,Serpinb1a,Ckb,Pcna,Gimap1,Ngfrap1,Kif3a,Alg12,Mrpl9,Snx8,Itgb2,AA986860,Bcl2l1,Actb,Atp8b4,Adgrg3,Pcbd1
Pbx2,Ints8,Irf5,Arhgdib,Stat5b,Ncor1,Rab1b,Klf3,,Rabl5,Uxt,E2f8,Angpt1,Cd82,Ltbp2,Tpx2,Camp,Bend6,Stat1,2010107E04Rik,Slfn2,Nadk,Nfyb,Tbc1d10c,Ebna1bp2,Unc119b,Kctd21,Vps35,Sec11c,Lrp5,Abcb1a,Bivm,Actl6a,Bag1,Adssl1,Pcmtd2
Mybl2,Nploc4,Irf8,Bst2,Mdm2,Pparg,Ube2d2,Prdm4,,Gm14326,Mki67,Foxm1,Aph1b,Ramp2,Tcea2,Plxnc1,Il1rl1,Expi,Cdc37,Anp32e,Stard9,Nck2,Ppp2r5c,Mpa2l,Supt4h2,Taf1c,Sh3bp5l,Edc3,Tm7sf1,Sorl1,Abcg2,Brd1,Actr1a,Blmh,Aff3,Pcp4l1
Mier1,Smg5,Mbd1,Serpinb1a,Parp11,Rfx5,Pik3ap1,Klf1,,Yif1b,Rangap1,Cdca2,Airn,Ubl3,Stat4,ENSMUSG00000072833,Naip3,Myof,Dnaja3,Canx,Tcp1,Pak1,Kif22,Aldoa,Rab8b,2900046G09Rik,Cd97,Hgsnat,Jarid2,Tnfrs21,Abcg3,Bscl2,Adam10,Bnip2,Agtrap,Per2
Rcor1,Retsat,Setdb1,Snd1,Rftn1,Rel,Ccl4,Gata1,,2610015P09Rik,Racgap1,Ska1,Bgn,Ly6a,Cml1,Zfpm1,Wipi1,Gdi2,Gbp5,Cops3,Tppp3,Actb,Usp37,Pisd-ps1,Srgn,Nipa2,Sec23a,1500001M20Rik,6330500D04Rik,Igf1r,Abhd5,Btf3l4,Add3,Bpifc,Aim2,Phldb2
